Heigh,Width,Year_w,currentBid,itemId,lotNumber,presaleEstimateHigh,presaleEstimateLow,priceRealised,startingBid,durationDays,saleUnif,isTitled,oil,ink,color,gouache,pastel,silver gelatin,chromogenic,charcoal,pigment,etching,leaf,leaves,Opaque pigments,pencil,acrylic,watercolor,pen,marble dust,scroll,engraving,mezzotint,aquatint,digital,casein,handmade paper,cardboard,lithograph,silkscreen,canvas,silk,print,prints,board,wove paper,masonite,paperboard,isSet,age,area,Style_American,Style_Asia,Style_China,Style_India,Style_Latin America,Style_Masters,Style_Nature,saleCurrency_GBP,saleCurrency_HKD,saleCurrency_USD,Year_s_2017,Year_s_2018,Year_s_2019,SP,Dow,t-bill,NASDAQ
50.6,62.0,1999.0,1100.0,41282,42,2000.0,1000.0,1375.0,1000.0,7,45632.95,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,18,3137.2000000000007,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
50.0,72.5,2002.0,1200.0,41283,43,2000.0,1000.0,1500.0,1000.0,7,45632.95,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,15,3625.0,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
99.4,68.2,1997.0,1500.0,41284,44,4000.0,2000.0,1875.0,1500.0,7,45632.95,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,20,6779.080000000001,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
49.5,49.5,1998.0,1000.0,41286,46,2000.0,1000.0,1250.0,1000.0,7,45632.95,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,19,2450.25,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
50.0,65.2,1997.0,1000.0,41287,47,2000.0,1000.0,1250.0,1000.0,7,45632.95,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,20,3260.0,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
184.2,26.6,2005.0,8000.0,41291,51,15000.0,10000.0,10000.0,8000.0,7,45632.95,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12,4899.72,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
79.7,59.4,2015.0,1800.0,41292,52,5500.0,3500.0,2250.0,1800.0,7,45632.95,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,4734.18,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
96.0,59.0,2005.0,6000.0,41293,53,8000.0,6000.0,7500.0,5000.0,7,45632.95,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12,5664.0,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
117.0,81.0,1988.0,12000.0,41294,54,20000.0,15000.0,15000.0,12000.0,7,45632.95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,29,9477.0,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
39.5,51.5,2004.0,1100.0,41296,56,1000.0,800.0,1375.0,800.0,7,45632.95,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,13,2034.25,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
